endTime,artistName,trackName,msPlayed
2021-03-04 05:31,Fall Out Boy,Uma Thurman,85333
2021-03-04 05:31,Fall Out Boy,Fourth Of July,16890
2021-03-04 05:32,Fall Out Boy,American Beauty/American Psycho,8340
2021-03-04 05:43,Fall Out Boy,Immortals,10350
2021-03-04 12:10,Gummy,Most Perfect Days,12680
2021-03-04 12:14,Taylor Swift,‘tis the damn season,229832
2021-03-04 12:17,Sam Smith,Fire On Fire,119743
2021-03-04 12:21,Lauv,Invisible Things,197306
2021-03-04 12:24,One Direction,Perfect,230333
2021-03-04 12:28,Louis Tomlinson,Two of Us,217851
2021-03-04 12:32,Lauv,Paris in the Rain,204708
2021-03-04 12:36,Ed Sheeran,Save Myself,247106
2021-03-04 12:38,Lewis Capaldi,Someone You Loved,123689
2021-03-05 14:44,Justin Bieber,Lonely (with benny blanco),149297
2021-03-05 14:47,Justin Bieber,Confirmation,170586
2021-03-05 14:50,Ariana Grande,pov,201882
2021-03-05 14:52,Lauv,Tattoos Together,11370
2021-03-05 14:56,BTS,Inner Child,233265
2021-03-05 14:59,Joy Crookes,Don't Let Me Down - Demo,195535
2021-03-05 15:03,Faime,Save,193033
2021-03-05 15:06,BTS,Stigma,216063
2021-03-05 15:10,Tom Misch,Follow,225341
2021-03-05 15:13,BTS,Intro: Singularity,196998
2021-03-05 15:16,Quinn XCII,Stacy,168986
2021-03-05 15:20,BTS,Inner Child,233265
2021-03-05 15:23,John Mayer,You're Gonna Live Forever in Me,190013
2021-03-05 15:27,BTS,Blue & Grey,254950
2021-03-05 15:31,BTS,Intro: Singularity,196998
2021-03-05 15:35,Natalie Taylor,Come to This,217968
2021-03-05 15:39,BTS,Stigma,216063
2021-03-05 15:41,Johnny Stimson,Flower,173230
2021-03-05 15:44,Lewis Capaldi,Someone You Loved,182160
2021-03-05 15:47,Jeremy Zucker,comethru,181613
2021-03-05 15:51,BTS,Inner Child,233265
2021-03-05 15:55,BTS,Friends,199338
2021-03-05 15:57,Joseph Vincent,Stand By Me,125987
2021-03-05 16:01,BTS,Blue & Grey,254950
2021-03-05 16:04,Alice Kristiansen,Moon and Back,183956
2021-03-05 16:09,V,It's Definitely You,230693
2021-03-05 16:12,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-03-05 16:15,Demi Lovato,Sober,197893
2021-03-05 16:19,BTS,Inner Child,233265
2021-03-05 16:22,BTS,Intro: Singularity,196998
2021-03-05 16:27,BTS,Blue & Grey,254950
2021-03-05 16:30,NIKI,Lose,3420
2021-03-05 16:30,V,Sweet Night,214258
2021-03-05 16:35,BTS,Hip Hop Phile,257300
2021-03-05 16:35,BTS,Let Me Know,31139
2021-03-06 05:59,Elevation Worship,Authority (Morning & Evening),325900
2021-03-06 06:37,RADWIMPS,Zenzenzense - movie ver.,285880
2021-03-06 06:41,BTS,Inner Child,233265
2021-03-06 06:45,BTS,Stigma,216063
2021-03-06 06:50,RADWIMPS,Nandemonaiya - movie ver.,344053
2021-03-06 06:54,BTS,Intro: Singularity,196998
